Site,Year,Month,dd,ff,tmin,t,tmax,td,p0,p,ewm,um,sshn,radglo24,evt,ewsm,nm,umax,umin,tsoil_m,rrr
40831,2000,1,117.58,1.86,7.82,12.3,17.34,6.23,1017.46,1018.71,9.84,68.42,6.55,NA,2.73,14.78,2.81,87.19,45.55,5.58,48.6
40831,2000,2,155.22,2.21,8.64,14.32,20.74,2.84,1017.34,1018.61,7.9,49.57,7.61,NA,5.27,17.07,1.76,71.79,26.38,6.03,4
40831,2000,3,164.03,2.51,12.07,19.24,26.41,1.56,1014.1,1015.35,7.22,34.02,8.32,NA,8.93,23.65,1.65,56.45,16.45,9.94,3
40831,2000,4,150.25,2.73,21.27,28.98,36.9,8.31,1008.92,1010.12,11.29,29.36,7.31,NA,11.95,41.9,3.32,46.5,15.83,19.13,0.6
40831,2000,5,203.47,3.38,24.84,33.42,41.65,7.6,1005.03,1006.19,10.75,22.01,9.96,NA,18.92,54.17,1.3,37.48,11.19,22.29,0
40831,2000,6,238.92,4.47,27.03,36.17,45.67,7,999.33,1000.21,10.24,18.27,11.13,NA,23.39,63.43,0,31.03,8.87,24.1,0
40831,2000,7,143.35,2.71,30.57,38.8,48.33,11.05,996,996.72,14.77,24.05,9.13,NA,20.08,72.52,0.04,43.97,8.45,28,0
40831,2000,8,164.27,2.88,29.64,38.38,48.55,11.79,998.06,998.82,15.73,26.25,10.75,NA,18.35,71.37,0.1,50.9,8.65,27.06,0
40831,2000,9,181.96,2.92,24.1,32.56,42.63,10.27,1004.05,1005.12,13.43,29.13,9.69,NA,15.57,51.78,0.12,50.24,11.28,21.27,0
40831,2000,10,136.61,2.74,19.67,26.63,35.26,8.83,1011.26,1012.5,12.04,36.15,8.27,NA,10.4,36.47,1.22,57.42,17.23,16.65,1.9
40831,2000,11,77.96,1.13,12.5,17.95,24.67,8.44,1016.84,1018.09,11.52,57.38,5.66,NA,4.13,21.32,3.3,76.63,34.7,9.93,13.8
40831,2000,12,95.73,1.46,10.25,13.77,18.37,10.57,1018.24,1019.46,13.07,81.99,4.69,NA,2.61,16.15,3.37,92.84,63.23,8.39,83.6
40831,2001,1,95.04,1.38,7.78,12.18,17.72,7.76,1018.79,1020.04,10.77,76.13,6.6,NA,2.55,14.56,1.59,91.71,53.42,5.39,35
